number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
2-комнатная квартира,40000000.0,3.0,58.0,16.0,Толе би Тау,монолитный,2012.0,2.8,совмещенный,полностью меблирована
3-комнатная квартира,94000000.0,1.0,120.0,3.0,Esentai City,монолитный,2020.0,,,
4-комнатная квартира,75000000.0,5.0,150.0,5.0,,,2004.0,,2 с/у и более,полностью меблирована
1-комнатная квартира,43000000.0,6.0,60.5,7.0,,,2018.0,3.2,,
3-комнатная квартира,72000000.0,6.0,125.7,10.0,Рамс мкр Коктем по Тимирязева-Шашкина,монолитный,2012.0,3,2 с/у и более,полностью меблирована
1-комнатная квартира,20000000.0,3.0,29.9,4.0,,,1961.0,,совмещенный,полностью меблирована
2-комнатная квартира,24600000.0,3.0,45.0,5.0,,,1984.0,,раздельный,
4-комнатная квартира,86190000.0,,132.6,,Grande vie,,2022.0,3,2 с/у и более,
3-комнатная квартира,53361000.0,,107.8,,Rams city,,2023.0,2.7,2 с/у и более,
1-комнатная квартира,38000000.0,9.0,42.0,11.0,Gagarin Park,монолитный,2018.0,3,совмещенный,полностью меблирована
2-комнатная квартира,47500000.0,1.0,62.0,6.0,,,1997.0,,раздельный,полностью меблирована
2-комнатная квартира,27000000.0,3.0,53.0,5.0,,кирпичный,1992.0,,раздельный,частично меблирована
2-комнатная квартира,35200000.0,10.0,60.0,10.0,Керемет,монолитный,2006.0,2.7,совмещенный,частично меблирована
1-комнатная квартира,19500000.0,5.0,33.7,5.0,,,1976.0,2.7,совмещенный,частично меблирована
2-комнатная квартира,19000000.0,1.0,43.0,4.0,,,1972.0,,совмещенный,
2-комнатная квартира,17800000.0,4.0,42.1,4.0,,,1963.0,2.45,совмещенный,пустая
4-комнатная квартира,75000000.0,16.0,135.0,21.0,Тенгиз Тауэрс,монолитный,2016.0,3,2 с/у и более,полностью меблирована
3-комнатная квартира,41500000.0,6.0,72.0,12.0,Науаи,монолитный,2008.0,3,,полностью меблирована
2-комнатная квартира,27500000.0,8.0,58.0,9.0,,,1982.0,2.8,раздельный,полностью меблирована
1-комнатная квартира,18577200.0,,33.6,,Sholpan City,,2020.0,2.9,совмещенный,
2-комнатная квартира,19500000.0,1.0,42.0,4.0,,,1972.0,,совмещенный,
2-комнатная квартира,21500000.0,1.0,50.0,5.0,,,1977.0,2.8,раздельный,
2-комнатная квартира,18900000.0,1.0,44.0,5.0,,,1971.0,,совмещенный,частично меблирована
2-комнатная квартира,34490000.0,8.0,60.5,16.0,Riviera,,2020.0,,,
2-комнатная квартира,50000000.0,8.0,100.0,14.0,КУАТ на Ескараева,монолитный,2008.0,3,,
