number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
5-комнатная квартира,89180000.0,9.0,137.2,10.0,Nur-Ay Residence,монолитный,2021.0,3.0,совмещенный,
2-комнатная квартира,30000000.0,8.0,75.0,18.0,Алтын Булак 1,монолитный,2012.0,,раздельный,частично меблирована
3-комнатная квартира,29900000.0,3.0,60.0,5.0,,,1980.0,2.65,совмещенный,пустая
2-комнатная квартира,17500000.0,1.0,44.2,4.0,,,1967.0,,совмещенный,
3-комнатная квартира,23700000.0,1.0,66.3,5.0,,,1972.0,,,
1-комнатная квартира,22000000.0,4.0,40.5,9.0,,,1980.0,3.0,совмещенный,частично меблирована
1-комнатная квартира,21000000.0,6.0,35.0,8.0,,,1987.0,,совмещенный,
2-комнатная квартира,26000000.0,2.0,42.0,5.0,,,1977.0,,раздельный,
2-комнатная квартира,25700000.0,8.0,53.2,21.0,Каусар,монолитный,2012.0,,совмещенный,
4-комнатная квартира,50000000.0,12.0,117.0,13.0,Жайлы,монолитный,2010.0,2.8,2 с/у и более,частично меблирована
2-комнатная квартира,23800000.0,3.0,44.1,4.0,,,1973.0,,раздельный,частично меблирована
2-комнатная квартира,27500000.0,1.0,53.0,5.0,,,1979.0,,раздельный,частично меблирована
2-комнатная квартира,24000000.0,4.0,44.3,5.0,,,1978.0,,раздельный,частично меблирована
2-комнатная квартира,22800000.0,3.0,43.5,4.0,,,1966.0,,совмещенный,полностью меблирована
1-комнатная квартира,23500000.0,4.0,46.0,10.0,,,2013.0,2.8,раздельный,частично меблирована
3-комнатная квартира,39790080.0,,94.2,,Nomad 2,,,2.7,совмещенный,
1-комнатная квартира,20500000.0,6.0,36.0,9.0,,,1982.0,,совмещенный,пустая
3-комнатная квартира,33700000.0,4.0,72.0,9.0,,,1986.0,2.85,раздельный,полностью меблирована
4-комнатная квартира,98000000.0,11.0,116.0,15.0,LEGENDA,монолитный,2019.0,3.0,2 с/у и более,
3-комнатная квартира,37500001.0,2.0,67.0,9.0,,,1989.0,3.0,раздельный,частично меблирована
2-комнатная квартира,38500000.0,5.0,60.0,8.0,,,1977.0,2.8,раздельный,частично меблирована
3-комнатная квартира,24500000.0,5.0,70.0,5.0,,,1979.0,,раздельный,частично меблирована
1-комнатная квартира,27500000.0,7.0,45.0,13.0,Atlant,монолитный,2016.0,,совмещенный,полностью меблирована
2-комнатная квартира,29500000.0,2.0,52.4,5.0,,,1975.0,2.7,раздельный,пустая
2-комнатная квартира,40600000.0,7.0,82.8,10.0,,,,2.75,раздельный,пустая
3-комнатная квартира,49500000.0,7.0,85.0,12.0,Акварель,монолитный,2021.0,2.75,раздельный,
1-комнатная квартира,15200000.0,1.0,33.0,4.0,,,1963.0,,совмещенный,частично меблирована
1-комнатная квартира,15000000.0,8.0,20.0,9.0,Мечта на Казыбек би,монолитный,2014.0,2.8,совмещенный,
3-комнатная квартира,30500000.0,2.0,70.0,4.0,,,1961.0,,совмещенный,полностью меблирована
3-комнатная квартира,33000000.0,3.0,66.0,9.0,,,1985.0,,раздельный,частично меблирована
2-комнатная квартира,24700000.0,8.0,54.0,21.0,Каусар,монолитный,2012.0,,совмещенный,частично меблирована
2-комнатная квартира,26000000.0,16.0,55.0,18.0,Манхеттан (29 квартал),монолитный,2007.0,2.8,раздельный,частично меблирована
4-комнатная квартира,170000000.0,3.0,170.0,6.0,,,2006.0,3.0,2 с/у и более,полностью меблирована
1-комнатная квартира,19500000.0,2.0,36.3,5.0,,,1992.0,,совмещенный,частично меблирована
3-комнатная квартира,44225280.0,,104.7,,Nomad 2,,,2.7,раздельный,
2-комнатная квартира,42000000.0,11.0,64.0,13.0,Отау,монолитный,2018.0,2.8,совмещенный,частично меблирована
3-комнатная квартира,56400000.0,6.0,108.8,11.0,Ата,монолитный,2006.0,3.0,раздельный,полностью меблирована
3-комнатная квартира,65999999.0,6.0,130.0,18.0,Жастар Mag,монолитный,2008.0,,2 с/у и более,полностью меблирована
1-комнатная квартира,18000000.0,2.0,30.0,14.0,Varlamova,монолитный,2017.0,3.0,совмещенный,
3-комнатная квартира,32000000.0,6.0,74.0,9.0,,,1984.0,,раздельный,частично меблирована
2-комнатная квартира,39990000.0,,45.0,,LEGENDA,монолитный,2017.0,3.0,совмещенный,
3-комнатная квартира,73000000.0,4.0,73.0,5.0,,,1988.0,,раздельный,полностью меблирована
2-комнатная квартира,39500000.0,4.0,64.0,18.0,Алтын Булак 1,монолитный,2012.0,3.0,совмещенный,полностью меблирована
2-комнатная квартира,34500000.0,11.0,82.5,21.0,Каусар,монолитный,2013.0,3.0,совмещенный,
2-комнатная квартира,30000000.0,5.0,50.0,12.0,Varlamova,,2021.0,3.0,совмещенный,полностью меблирована
1-комнатная квартира,17000000.0,4.0,39.0,9.0,,,1986.0,,,
3-комнатная квартира,37000000.0,8.0,70.0,8.0,,,1977.0,,раздельный,частично меблирована
6-комнатная квартира,220000000.0,10.0,250.0,10.0,Elif Towers,монолитный,2019.0,3.22,2 с/у и более,частично меблирована
3-комнатная квартира,31500000.0,10.0,72.0,16.0,Алтын Булак 1,монолитный,2016.0,2.8,2 с/у и более,частично меблирована
1-комнатная квартира,25830000.0,4.0,36.9,9.0,Nur-Ay Residence,монолитный,2020.0,3.0,совмещенный,
1-комнатная квартира,21000000.0,2.0,45.0,5.0,,,1972.0,2.7,раздельный,частично меблирована
2-комнатная квартира,40000000.0,,65.0,,Отау,монолитный,2018.0,,,
3-комнатная квартира,57000000.0,4.0,82.5,7.0,,,1974.0,3.0,совмещенный,частично меблирована
1-комнатная квартира,16500000.0,3.0,22.0,5.0,,,1975.0,2.8,совмещенный,
2-комнатная квартира,17777777.0,1.0,51.0,16.0,ЖК на Ташкентской,монолитный,2019.0,3.0,совмещенный,пустая
3-комнатная квартира,44900000.0,5.0,80.7,9.0,,,2004.0,2.75,раздельный,частично меблирована
1-комнатная квартира,19401600.0,,43.0,,Nomad 2,,,2.7,совмещенный,
1-комнатная квартира,23000000.0,2.0,50.0,7.0,,,1977.0,2.8,совмещенный,
3-комнатная квартира,42000000.0,2.0,80.0,5.0,,,1983.0,2.74,раздельный,полностью меблирована
1-комнатная квартира,18000000.0,3.0,34.0,5.0,,,1976.0,,совмещенный,частично меблирована
3-комнатная квартира,66000000.0,6.0,130.0,18.0,Жастар Mag,монолитный,,,,
2-комнатная квартира,34000000.0,9.0,68.0,18.0,Алтын Булак 1,монолитный,2011.0,,совмещенный,полностью меблирована
1-комнатная квартира,17200000.0,4.0,33.0,5.0,,,1981.0,,,
4-комнатная квартира,115000000.0,2.0,153.8,6.0,Изумрудный город,,2002.0,3.0,2 с/у и более,полностью меблирована
5-комнатная квартира,57000000.0,17.0,144.0,21.0,Каусар,монолитный,2012.0,2.9,2 с/у и более,частично меблирована
2-комнатная квартира,20600000.0,2.0,42.2,4.0,,,1970.0,2.7,совмещенный,полностью меблирована
