number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
3-комнатная квартира,26500000.0,2.0,62.0,5.0,,,1975.0,,раздельный,частично меблирована
3-комнатная квартира,35800000.0,8.0,74.0,9.0,,,1979.0,,совмещенный,
2-комнатная квартира,19999999.0,3.0,43.6,4.0,,,1966.0,2.6,совмещенный,
1-комнатная квартира,14461500.0,,31.1,,River Park,монолитный,2021.0,,,частично меблирована
2-комнатная квартира,39000000.0,4.0,51.0,5.0,,,1986.0,2.7,раздельный,частично меблирована
1-комнатная квартира,27000000.0,8.0,36.5,8.0,,,1978.0,2.65,раздельный,частично меблирована
1-комнатная квартира,30000000.0,3.0,44.0,10.0,Кок Жер,монолитный,2019.0,2.7,совмещенный,частично меблирована
5-комнатная квартира,154000000.0,,220.0,,Клубный дом DeVille,монолитный,2018.0,3.3,совмещенный,
8-комнатная квартира,233600000.0,9.0,345.0,10.0,Клубный дом DeVille,монолитный,2018.0,3.3,2 с/у и более,
3-комнатная квартира,47000000.0,4.0,86.0,4.0,,кирпичный,1974.0,2.8,совмещенный,частично меблирована
1-комнатная квартира,23500000.0,4.0,41.3,10.0,,,,,совмещенный,полностью меблирована
