index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1148,4-комнатная квартира,15.0,165.0,16.0,Тюркуаз Тауэрс,монолитный,2005.0,MISSING,2 с/у и более,MISSING
153,3-комнатная квартира,3.0,123.0,5.0,MISSING,MISSING,1980.0,2.8,совмещенный,MISSING
4143,3-комнатная квартира,3.0,134.0,7.0,MISSING,MISSING,2000.0,MISSING,2 с/у и более,полностью меблирована
3310,2-комнатная квартира,4.0,45.0,4.0,MISSING,MISSING,1964.0,MISSING,совмещенный,частично меблирована
1145,2-комнатная квартира,2.0,19.0,2.0,MISSING,MISSING,-999.0,MISSING,MISSING,MISSING
1699,1-комнатная квартира,11.0,46.0,13.0,Latifa residence,монолитный,2016.0,3.0,совмещенный,MISSING
2775,3-комнатная квартира,4.0,86.0,5.0,MISSING,MISSING,1972.0,2.8,2 с/у и более,частично меблирована
2471,3-комнатная квартира,7.0,137.0,7.0,Ренессанс,монолитный,2009.0,MISSING,2 с/у и более,частично меблирована
1247,4-комнатная квартира,5.0,147.0,21.0,Samal Tower,монолитный,2016.0,3.2,2 с/у и более,MISSING
13,2-комнатная квартира,-999.0,84.27,-999.0,Gorny Hills,MISSING,2021.0,3.0,совмещенный,MISSING
1078,8-комнатная квартира,9.0,334.0,10.0,Клубный дом DeVille,монолитный,2017.0,3.3,2 с/у и более,MISSING
1322,1-комнатная квартира,2.0,32.0,4.0,MISSING,MISSING,1975.0,MISSING,совмещенный,полностью меблирована
2253,1-комнатная квартира,16.0,50.0,22.0,Алматы Тауэрс,монолитный,2008.0,3.0,совмещенный,MISSING
200,4-комнатная квартира,5.0,242.0,5.0,MISSING,MISSING,2007.0,2.99,2 с/у и более,частично меблирована
632,3-комнатная квартира,4.0,58.5,5.0,MISSING,MISSING,1978.0,MISSING,совмещенный,частично меблирована
2567,3-комнатная квартира,4.0,105.5,9.0,Этюд,монолитный,2007.0,3.2,2 с/у и более,полностью меблирована
3159,4-комнатная квартира,2.0,168.0,10.0,Exclusive Residence,монолитный,2018.0,3.2,MISSING,MISSING
4101,5-комнатная квартира,2.0,225.0,9.0,Элит-1 на Зенкова,монолитный,2006.0,3.0,2 с/у и более,полностью меблирована
1249,2-комнатная квартира,4.0,43.0,5.0,MISSING,MISSING,1967.0,2.5,совмещенный,пустая
