index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture,prediction,true_value
4770,1-комнатная квартира,4.0,24.0,4.0,MISSING,MISSING,1970.0,3,совмещенный,полностью меблирована,10777055.0,10000000.0
4901,2-комнатная квартира,9.0,54.0,11.0,Element,монолитный,2017.0,3,совмещенный,полностью меблирована,43209770.0,49300000.0
24,2-комнатная квартира,1.0,61.0,5.0,MISSING,MISSING,1963.0,2.7,раздельный,пустая,29042160.0,35000000.0
5499,2-комнатная квартира,14.0,69.0,16.0,Riviera,монолитный,2020.0,2.88,2 с/у и более,MISSING,39741492.0,40000000.0
6451,3-комнатная квартира,4.0,68.0,9.0,MISSING,MISSING,1986.0,MISSING,MISSING,MISSING,35939132.0,33500000.0
6684,2-комнатная квартира,3.0,43.0,4.0,MISSING,MISSING,1969.0,2.6,совмещенный,частично меблирована,21740982.0,20000000.0
6199,2-комнатная квартира,3.0,43.0,4.0,MISSING,MISSING,1963.0,2.8,совмещенный,MISSING,21089642.0,19500000.0
6234,1-комнатная квартира,3.0,32.0,5.0,MISSING,MISSING,1975.0,2.7,совмещенный,MISSING,18112212.0,16000000.0
590,3-комнатная квартира,2.0,137.0,7.0,Солнечная Долина,монолитный,2009.0,MISSING,2 с/у и более,частично меблирована,106245130.0,120000000.0
1366,1-комнатная квартира,3.0,39.0,12.0,Акварель,монолитный,2017.0,2.74,совмещенный,частично меблирована,25641474.0,27000000.0
2307,3-комнатная квартира,6.0,105.8,12.0,MISSING,MISSING,2022.0,3,MISSING,MISSING,54814264.0,56074000.0
9417,1-комнатная квартира,5.0,45.0,14.0,Асыл Тау,монолитный,2016.0,MISSING,MISSING,MISSING,26262994.0,26500000.0
6200,3-комнатная квартира,5.0,169.0,10.0,Горстрой на Аль-Фараби - Маркова,монолитный,2000.0,2.9,2 с/у и более,полностью меблирована,105030450.0,78000000.0
6916,1-комнатная квартира,5.0,36.0,5.0,MISSING,MISSING,1988.0,2.8,совмещенный,MISSING,20130788.0,18000000.0
6355,2-комнатная квартира,2.0,52.0,5.0,MISSING,MISSING,1992.0,MISSING,раздельный,частично меблирована,29347572.0,26500000.0
5733,5-комнатная квартира,9.0,347.0,10.0,Звезда Востока,монолитный,2004.0,3,2 с/у и более,полностью меблирована,277531520.0,270000000.0
128,2-комнатная квартира,8.0,75.1,21.0,Central Avenue,монолитный,2022.0,3,2 с/у и более,пустая,60927390.0,50000000.0
9750,3-комнатная квартира,3.0,123.0,13.0,Аэлита,монолитный,2005.0,3,MISSING,MISSING,67611030.0,62000000.0
3226,3-комнатная квартира,-999.0,102.0,-999.0,Orion,монолитный,2017.0,MISSING,MISSING,MISSING,75507800.0,83000000.0
280,3-комнатная квартира,5.0,138.8,15.0,Талисман,монолитный,2007.0,3,2 с/у и более,полностью меблирована,67579580.0,67500000.0
8992,3-комнатная квартира,5.0,63.0,5.0,MISSING,MISSING,1980.0,MISSING,MISSING,частично меблирована,30571178.0,25200000.0
9670,2-комнатная квартира,2.0,68.0,16.0,Riviera,монолитный,2020.0,2.85,2 с/у и более,полностью меблирована,52622680.0,45000000.0
2502,2-комнатная квартира,3.0,48.0,8.0,4YOU,монолитный,2021.0,2.78,совмещенный,полностью меблирована,41801020.0,43999999.0
870,2-комнатная квартира,3.0,43.0,5.0,MISSING,MISSING,1989.0,MISSING,раздельный,MISSING,22418764.0,15500000.0
936,4-комнатная квартира,11.0,130.0,11.0,Gagarin Park,монолитный,2017.0,3,2 с/у и более,частично меблирована,103546480.0,125000000.0
6295,1-комнатная квартира,3.0,36.0,5.0,MISSING,MISSING,1989.0,2.8,MISSING,MISSING,21521064.0,23000000.0
8683,4-комнатная квартира,1.0,220.0,6.0,Байсал,монолитный,2008.0,MISSING,2 с/у и более,частично меблирована,156254690.0,159000000.0
4696,2-комнатная квартира,6.0,70.0,14.0,MISSING,MISSING,-999.0,MISSING,совмещенный,пустая,44168076.0,38000000.0
6009,1-комнатная квартира,1.0,16.0,5.0,MISSING,MISSING,1979.0,MISSING,раздельный,MISSING,6525638.5,6800000.0
6196,3-комнатная квартира,1.0,57.6,4.0,MISSING,панельный,1961.0,2.5,совмещенный,частично меблирована,24607622.0,26555555.0
3279,3-комнатная квартира,5.0,62.0,5.0,MISSING,MISSING,1980.0,MISSING,раздельный,частично меблирована,30277592.0,27500000.0
1071,3-комнатная квартира,13.0,102.0,25.0,Mega Tower Almaty,монолитный,2013.0,2.8,2 с/у и более,частично меблирована,59629304.0,58900000.0
6627,2-комнатная квартира,1.0,58.0,3.0,Эталон (Ремизовка),кирпичный,2006.0,MISSING,MISSING,MISSING,38121864.0,35000000.0
1645,3-комнатная квартира,14.0,128.0,21.0,AFD Plaza,монолитный,2015.0,3,MISSING,MISSING,96964520.0,97000000.0
7947,3-комнатная квартира,4.0,62.0,5.0,MISSING,MISSING,1977.0,MISSING,совмещенный,частично меблирована,29956146.0,32000000.0
3406,2-комнатная квартира,1.0,44.0,4.0,MISSING,MISSING,1962.0,2.7,совмещенный,частично меблирована,20168052.0,20000000.0
5342,3-комнатная квартира,2.0,65.0,9.0,MISSING,MISSING,1983.0,3,раздельный,частично меблирована,33128096.0,41000000.0
5856,4-комнатная квартира,15.0,126.0,16.0,Шахристан,монолитный,2016.0,MISSING,MISSING,MISSING,78912320.0,75000000.0
2643,1-комнатная квартира,7.0,43.5,12.0,Асыл Тобе,монолитный,2018.0,MISSING,MISSING,MISSING,27016102.0,26500000.0
675,3-комнатная квартира,11.0,121.0,12.0,MISSING,MISSING,2022.0,3,MISSING,MISSING,73582296.0,60541600.0
8796,2-комнатная квартира,12.0,73.0,12.0,MISSING,MISSING,2017.0,MISSING,совмещенный,MISSING,44417220.0,49000000.0
6871,2-комнатная квартира,5.0,53.0,5.0,MISSING,MISSING,1983.0,2.8,MISSING,MISSING,26823872.0,32500000.0
227,3-комнатная квартира,-999.0,107.8,-999.0,Rams city,MISSING,2023.0,2.7,2 с/у и более,MISSING,56768600.0,53361000.0
5205,4-комнатная квартира,2.0,157.0,7.0,Miras Park,монолитный,2017.0,3.3,2 с/у и более,MISSING,135156640.0,156000000.0
3491,1-комнатная квартира,8.0,40.0,8.0,MISSING,MISSING,1976.0,2.8,совмещенный,частично меблирована,21955538.0,25500000.0
8428,3-комнатная квартира,9.0,100.0,10.0,MISSING,MISSING,2010.0,MISSING,раздельный,частично меблирована,54393044.0,45000000.0
6012,4-комнатная квартира,-999.0,120.0,-999.0,Солнечный Квартал,монолитный,2014.0,2.8,раздельный,частично меблирована,69806920.0,80000000.0
