index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1696,1-комнатная квартира,2.0,30.3,9.0,Nurly Dala,монолитный,2021,3.0,совмещенный,MISSING
1779,1-комнатная квартира,8.0,40.0,9.0,Шугыла,монолитный,2017,2.7,совмещенный,частично меблирована
1721,2-комнатная квартира,2.0,63.0,10.0,MISSING,MISSING,2017,-999.0,совмещенный,частично меблирована
1237,1-комнатная квартира,9.0,44.0,9.0,Шугыла,панельный,2018,2.8,совмещенный,частично меблирована
1476,3-комнатная квартира,9.0,132.0,16.0,Премьера,монолитный,2008,-999.0,2 с/у и более,частично меблирована
135,1-комнатная квартира,5.0,43.4,10.0,Alma City,монолитный,2020,2.7,совмещенный,частично меблирована
1027,2-комнатная квартира,1.0,60.0,10.0,MISSING,MISSING,2017,-999.0,совмещенный,MISSING
1716,1-комнатная квартира,9.0,44.0,9.0,MISSING,MISSING,2017,-999.0,совмещенный,частично меблирована
190,1-комнатная квартира,4.0,44.0,10.0,Alma City,монолитный,2021,-999.0,MISSING,MISSING
652,2-комнатная квартира,6.0,63.0,10.0,MISSING,MISSING,2017,-999.0,совмещенный,MISSING
1398,3-комнатная квартира,8.0,86.0,10.0,Хан-Тенгри,монолитный,2014,-999.0,2 с/у и более,MISSING
6,4-комнатная квартира,-999.0,172.6,-999.0,Lafayette,MISSING,"3 этажа, 2022",3.2,раздельный,MISSING
680,1-комнатная квартира,2.0,37.0,6.0,MISSING,MISSING,2019,2.75,совмещенный,пустая
424,1-комнатная квартира,1.0,31.5,9.0,Alma City,монолитный,2022,2.8,совмещенный,MISSING
763,3-комнатная квартира,6.0,75.0,9.0,Шугыла,монолитный,2018,2.7,раздельный,полностью меблирована
1264,4-комнатная квартира,3.0,99.0,5.0,MISSING,MISSING,2002,2.8,раздельный,частично меблирована
974,1-комнатная квартира,10.0,45.0,16.0,Премьера,монолитный,2014,-999.0,совмещенный,полностью меблирована
1048,3-комнатная квартира,1.0,64.1,5.0,MISSING,MISSING,1992,2.8,раздельный,MISSING
475,1-комнатная квартира,2.0,35.5,2.0,Gulder,монолитный,2022,2.7,MISSING,MISSING
648,2-комнатная квартира,9.0,60.0,10.0,MISSING,MISSING,2017,-999.0,совмещенный,MISSING
150,1-комнатная квартира,9.0,28.0,10.0,MISSING,MISSING,2017,-999.0,MISSING,MISSING
1798,1-комнатная квартира,1.0,14.5,5.0,MISSING,MISSING,1980,2.6,совмещенный,пустая
1534,1-комнатная квартира,10.0,30.0,10.0,Alma City,MISSING,2021,2.75,раздельный,MISSING
1768,1-комнатная квартира,5.0,38.0,12.0,Gulder,монолитный,2020,2.7,совмещенный,частично меблирована
1086,3-комнатная квартира,2.0,118.0,14.0,Премьера,панельный,2013,2.8,совмещенный,частично меблирована
418,1-комнатная квартира,7.0,44.0,10.0,MISSING,MISSING,2016,2.8,MISSING,MISSING
828,1-комнатная квартира,6.0,44.9,9.0,Шугыла,монолитный,2019,2.8,совмещенный,частично меблирована
364,1-комнатная квартира,1.0,24.0,3.0,MISSING,MISSING,2013,2.7,совмещенный,полностью меблирована
696,1-комнатная квартира,5.0,46.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,частично меблирована
1363,1-комнатная квартира,6.0,44.0,9.0,Шугыла,монолитный,2017,2.7,совмещенный,пустая
729,1-комнатная квартира,1.0,21.0,3.0,MISSING,MISSING,2013,-999.0,совмещенный,MISSING
243,1-комнатная квартира,4.0,11.0,4.0,MISSING,MISSING,2017,-999.0,совмещенный,полностью меблирована
1862,2-комнатная квартира,2.0,55.0,6.0,Alma City,монолитный,2019,2.8,совмещенный,частично меблирована
1606,3-комнатная квартира,9.0,75.1,9.0,Шугыла,кирпичный,2017,2.7,раздельный,MISSING
1579,3-комнатная квартира,4.0,79.0,16.0,Gulder,монолитный,2022,2.7,2 с/у и более,MISSING
113,2-комнатная квартира,2.0,62.6,4.0,MISSING,MISSING,MISSING,2.8,MISSING,MISSING
359,1-комнатная квартира,1.0,44.3,9.0,MISSING,MISSING,2021,2.65,совмещенный,MISSING
1289,2-комнатная квартира,3.0,57.0,10.0,MISSING,монолитный,2020,2.7,раздельный,частично меблирована
707,1-комнатная квартира,6.0,29.6,9.0,MISSING,MISSING,2021,-999.0,MISSING,MISSING
627,2-комнатная квартира,1.0,110.0,15.0,Премьера,монолитный,2012,2.8,совмещенный,частично меблирована
305,1-комнатная квартира,8.0,42.0,10.0,Alma City,MISSING,2020,2.7,совмещенный,полностью меблирована
1397,3-комнатная квартира,9.0,65.0,10.0,Хан-Тенгри,монолитный,2016,2.9,2 с/у и более,MISSING
1499,2-комнатная квартира,5.0,58.0,10.0,Alma City,монолитный,2021,2.8,MISSING,MISSING
1852,1-комнатная квартира,-999.0,40.0,-999.0,MISSING,MISSING,2019,-999.0,MISSING,MISSING
850,1-комнатная квартира,2.0,35.0,2.0,MISSING,MISSING,1970,-999.0,совмещенный,частично меблирована
1760,1-комнатная квартира,8.0,64.5,16.0,Премьера,монолитный,2015,2.73,совмещенный,MISSING
1817,2-комнатная квартира,2.0,62.6,4.0,MISSING,MISSING,2022,2.8,совмещенный,пустая
1188,1-комнатная квартира,10.0,40.0,16.0,MISSING,MISSING,2020,3.0,совмещенный,частично меблирована
1665,1-комнатная квартира,10.0,64.0,16.0,Премьера,монолитный,2013,2.8,MISSING,MISSING
866,2-комнатная квартира,-999.0,62.6,-999.0,Жайсан,монолитный,2022,2.8,совмещенный,пустая
